Date,Vanguard Canadian Aggregate Bond Index ETF (VAB),Vanguard FTSE Canada All Cap Index ETF (VCN),Vanguard FTSE Global All Cap ex Canada Index ETF (VXC) ,Vanguard Balanced ETF Portfolio (VBAL)
2020-04-01,25.73,26.05,32.93,23.24
2020-05-01,27.08,29.41,36.56,25.20
2020-06-01,27.06,30.74,38.49,25.97
2020-07-01,27.43,31.54,39.56,26.46
2020-08-01,27.82,32.75,40.42,27.11
2020-09-01,27.38,33.36,41.68,27.40
2020-10-01,27.35,32.41,41.22,27.14
2020-11-01,27.19,31.49,40.58,26.74
2020-12-01,27.34,35.09,44.22,28.45
2021-01-01,27.34,35.32,45.45,28.74
2021-02-01,26.94,35.30,45.51,28.78
2021-03-01,26.13,36.92,46.42,28.95
